"item_name","ing_id","ing_name","ing_weight","ing_price","order_quantity","recipe_quantity","ordered_weight","unit_cost","ingredient_cost"
"Soy marinated salmon","ing001","Salmon","5000","4300","8","100","800","0.86","688"
"Soy marinated salmon","ing015","Garlic and chilli","3000","600","8","10","80","0.2","16"
"Soy marinated salmon","ing019","Soy suace ","5000","1500","8","100","800","0.3","240"
"Soy marinated salmon","ing001","Salmon","5000","4300","12","200","2400","0.86","2064"
"Soy marinated salmon","ing015","Garlic and chilli","3000","600","12","20","240","0.2","48"
"Soy marinated salmon","ing019","Soy suace ","5000","1500","12","150","1800","0.3","540"
"Soy marinated shrimp","ing005","Shrimp","10000","2300","1","100","100","0.23","23"
"Soy marinated shrimp","ing015","Garlic and chilli","3000","600","1","10","10","0.2","2"
"Soy marinated shrimp","ing019","Soy suace ","5000","1500","1","100","100","0.3","30"
"Soy marinated shrimp","ing005","Shrimp","10000","2300","3","200","600","0.23","138"
"Soy marinated shrimp","ing015","Garlic and chilli","3000","600","3","20","60","0.2","12"
"Soy marinated shrimp","ing019","Soy suace ","5000","1500","3","150","450","0.3","135"
"Mix soy marinated","ing001","Salmon","5000","4300","7","100","700","0.86","602"
"Mix soy marinated","ing005","Shrimp","10000","2300","7","100","700","0.23","161"
"Mix soy marinated","ing015","Garlic and chilli","3000","600","7","20","140","0.2","28"
"Mix soy marinated","ing019","Soy suace ","5000","1500","7","150","1050","0.3","315"
"Pork hot pot set","ing004","Pork sliced","3000","600","4","100","400","0.2","80"
"Pork hot pot set","ing016","Vegatable","2000","300","4","30","120","0.15","18"
"Pork hot pot set","ing018","Meat ball","5000","500","4","50","200","0.1","20"
"Pork hot pot set","ing004","Pork sliced","3000","600","2","200","400","0.2","80"
"Pork hot pot set","ing016","Vegatable","2000","300","2","50","100","0.15","15"
"Pork hot pot set","ing018","Meat ball","5000","500","2","100","200","0.1","20"
"Seafood hot pot set","ing005","Shrimp","10000","2300","2","40","80","0.23","18.4"
"Seafood hot pot set","ing006","Squid","3000","1000","2","40","80","0.33","26.67"
"Seafood hot pot set","ing007","Fish","3000","600","2","40","80","0.2","16"
"Seafood hot pot set","ing016","Vegatable","2000","300","2","30","60","0.15","9"
"Seafood hot pot set","ing018","Meat ball","5000","500","2","50","100","0.1","10"
"Seafood hot pot set","ing005","Shrimp","10000","2300","4","80","320","0.23","73.6"
"Seafood hot pot set","ing006","Squid","3000","1000","4","80","320","0.33","106.67"
"Seafood hot pot set","ing007","Fish","3000","600","4","80","320","0.2","64"
"Seafood hot pot set","ing016","Vegatable","2000","300","4","50","200","0.15","30"
"Seafood hot pot set","ing018","Meat ball","5000","500","4","100","400","0.1","40"
"Grill pork neck","ing003","Pork neck","4000","800","2","100","200","0.2","40"
"Grill pork neck","ing014","Seasonal","2000","500","2","10","20","0.25","5"
"Grill pork neck","ing003","Pork neck","4000","800","5","200","1000","0.2","200"
"Grill pork neck","ing014","Seasonal","2000","500","5","10","50","0.25","12.5"
"Ribeye steak","ing002","Ribeye","4000","1600","3","150","450","0.4","180"
"Ribeye steak","ing014","Seasonal","2000","500","3","10","30","0.25","7.5"
"Ribeye steak","ing002","Ribeye","4000","1600","7","250","1750","0.4","700"
"Ribeye steak","ing014","Seasonal","2000","500","7","10","70","0.25","17.5"
"Grilled Beef Rice","ing002","Ribeye","4000","1600","6","200","1200","0.4","480"
"Grilled Beef Rice","ing009","Rice","15000","720","6","120","720","0.05","34.56"
"Grilled Beef Rice","ing014","Seasonal","2000","500","6","10","60","0.25","15"
"Grilled Tuna","ing008","Tuna","3000","2700","4","100","400","0.9","360"
"Grilled Tuna","ing014","Seasonal","2000","500","4","10","40","0.25","10"
"Grilled Tuna","ing008","Tuna","3000","2700","3","200","600","0.9","540"
"Grilled Tuna","ing014","Seasonal","2000","500","3","10","30","0.25","7.5"
"Caesar Salad","ing010","Bacon","1000","350","8","5","40","0.35","14"
"Caesar Salad","ing016","Vegatable","2000","300","8","50","400","0.15","60"
"Caesar Salad","ing017","Caesar dressing ","2000","300","8","10","80","0.15","12"
"French fries","ing011","French fries","2000","360","3","100","300","0.18","54"
"Edamame beans","ing013","Edamame","2000","200","1","100","100","0.1","10"
"Fried gyoza","ing012","Gyoza","2000","800","4","100","400","0.4","160"
"Chocolate Ice Cream","ing020","Chocolate ice cream","4000","1000","4","300","1200","0.25","300"
"Vanila Ice Cream","ing021","Vanila ice cream","4000","1000","1","300","300","0.25","75"
"Chocolate Brownie","ing022","Chocolate Brownie","1500","500","2","200","400","0.33","133.33"
"Banoffee Pie","ing023","Banoffee Pie","1500","400","4","200","800","0.27","213.33"
"Coca Cola","null","null","null","null","2","null","null","null","null"
"Coca Cola","null","null","null","null","9","null","null","null","null"
"Diet Coke","null","null","null","null","2","null","null","null","null"
"Beer","null","null","null","null","2","null","null","null","null"
"Beer","null","null","null","null","10","null","null","null","null"
"Water","null","null","null","null","6","null","null","null","null"
